pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Quién dirigió El Padrino?,Steven Spielberg,Francis Ford Coppola,Martin Scorsese,Quentin Tarantino,2
¿En qué año se estrenó Casablanca?,1950,1942,1939,1945,2
¿Cuál es el nombre del protagonista de Breaking Bad?,Walter White,Saul Goodman,Jesse Pinkman,Gustavo Fring,1
¿Qué película ganó el Oscar a Mejor Película en 1994?,Forrest Gump,Pulp Fiction,Cadena Perpetua,El Rey León,1
¿Cómo se llama el creador de Los Simpson?,Matt Groening,Seth MacFarlane,Trey Parker,Mike Judge,1
¿En qué película aparece el personaje Jack Sparrow?,Piratas del Caribe,El Tesoro Perdido,Alicia en el País de las Maravillas,Peter Pan,1
¿Quién interpretó a Joker en El Caballero Oscuro?,Joaquin Phoenix,Jack Nicholson,Heath Ledger,Jared Leto,3
¿En qué año se estrenó Star Wars: Una Nueva Esperanza?,1980,1977,1983,1975,2
¿Qué serie popular tiene como protagonista a un grupo de amigos en Nueva York?,The Office,How I Met Your Mother,Friends,Seinfeld,3
¿Quién dirigió Jurassic Park?,James Cameron,Steven Spielberg,George Lucas,Ridley Scott,2
¿Cómo se llama el protagonista de la saga Harry Potter?,Ron Weasley,Draco Malfoy,Hermione Granger,Harry Potter,4
¿Quién protagonizó la película 'Volver al Futuro'?,Michael J. Fox,Christopher Lloyd,Matthew Broderick,Tom Hanks,1
¿Cuál es el nombre del planeta natal de Superman?,Kriptón,Terra,Asgard,Marte,1
¿En qué serie aparece el personaje Tyrion Lannister?,Los Soprano,Breaking Bad,Game of Thrones,Vikings,3
¿Qué película tiene como protagonista al robot WALL-E?,Toy Story,WALL-E,Ratatouille,Buscando a Nemo,2
¿Qué director es conocido por la película 'El Gran Hotel Budapest'?,Wes Anderson,Tim Burton,Guillermo del Toro,Sofia Coppola,1
¿Quién interpreta a Iron Man en el Universo Cinematográfico de Marvel?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,3
¿Qué actriz protagonizó la película 'La La Land' junto a Ryan Gosling?,Emma Stone,Jennifer Lawrence,Scarlett Johansson,Natalie Portman,1
¿Qué saga de películas tiene como lema 'Que la Fuerza te acompañe'?,Star Trek,El Señor de los Anillos,Star Wars,Matrix,3
¿Qué película animada de Disney tiene a una princesa llamada Ariel?,La Sirenita,La Bella Durmiente,Blancanieves,Pocahontas,1
¿En qué película de Pixar aparece el personaje Buzz Lightyear?,Monsters Inc.,Toy Story,Cars,Los Increíbles,2
¿Quién dirigió la película 'Inception'?,Christopher Nolan,James Cameron,Ridley Scott,Denis Villeneuve,1
¿Cuál es el nombre del villano en 'El Rey León'?,Scar,Mufasa,Shere Khan,Jafar,1
¿En qué ciudad se desarrolla 'Sex and the City'?,Los Ángeles,Nueva York,Chicago,San Francisco,2
¿Qué personaje es conocido como 'El Niño que Vivió'?,Frodo Baggins,Harry Potter,Luke Skywalker,Percy Jackson,2
¿En qué película aparece el personaje de Gollum?,Harry Potter,El Señor de los Anillos,Star Wars,Crónicas de Narnia,2
¿Cómo se llama la nave de Han Solo en Star Wars?,Millennium Falcon,X-Wing,Star Destroyer,TIE Fighter,1
¿Quién es el director de 'Avatar'?,Christopher Nolan,James Cameron,Peter Jackson,Steven Spielberg,2
