pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,porcentaje_aciertos,cantidad_fallos,cantidad_aciertos,cantidad_veces_preguntada
¿Qué película de superhéroes cuenta la historia de un hombre llamado Tony Stark?,Capitán América: El Soldado de Invierno,Los Vengadores,Thor: Ragnarok,Iron Man,4,0.0,0,0,0
¿Qué película tiene como protagonistas a los juguetes Woody y Buzz?,Ratatouille,Monsters Inc.,Toy Story,Cars,3,0.0,0,0,0
"¿Cuál es el nombre del superhéroe conocido como el ""Caballero Oscuro""?",Batman,Superman,Iron Man,Spider-Man,1,0.0,0,0,0
"¿Qué personaje es conocido como ""El Niño que Vivió""?",Percy Jackson,Luke Skywalker,Harry Potter,Frodo Baggins,3,0.0,0,0,0
¿En qué serie aparece el personaje Tyrion Lannister?,Breaking Bad,Los Soprano,Game of Thrones,Vikings,3,0.0,0,0,0
¿Qué película presenta a una banda de superhéroes llamados los Guardianes de la Galaxia?,Capitán Marvel,Thor: Ragnarok,Guardianes de la Galaxia,Avengers,3,0.0,0,0,0
¿Quién dirigió la película 'Inception'?,James Cameron,Denis Villeneuve,Ridley Scott,Christopher Nolan,4,0.0,0,0,0
"¿Qué película animada incluye la canción ""Libre soy""?",Encanto,Frozen,Moana,La Sirenita,2,0.0,0,0,0
¿En qué película de Disney aparece el personaje de Baloo?,Tarzan,Bambi,Dumbo,El Libro de la Selva,4,0.0,0,0,0
"¿Qué saga de películas tiene como lema ""Que la Fuerza te acompañe""?",El Señor de los Anillos,Star Trek,Matrix,Star Wars,4,0.0,0,0,0
¿En qué película aparece el personaje de Jack Sparrow?,El Tesoro Perdido,Alicia en el País de las Maravillas,Peter Pan,Piratas del Caribe,4,0.0,0,0,0
¿Qué serie tiene como protagonista a un grupo de amigos en Nueva York?,Friends,How I Met Your Mother,Seinfeld,The Office,1,0.0,0,0,0
¿Quién interpretó a Lara Croft en las películas de 'Tomb Raider'?,Scarlett Johansson,Angelina Jolie,Alicia Vikander,Charlize Theron,2,0.0,0,0,0
